Name,Year,Height Without Shoes,Wingspan,Standing Reach,G,PTS,TRB,AST,2P%,3P%,FT%,Pos,GP
Cameron Johnson,2019-20,79.0,82.0,103.0,118,10.1,5.4,0.7,0.465,0.333,0.611,SG,222
Romeo Langford,2019-20,76.5,83.0,103.0,32,16.5,5.4,2.3,0.53,0.272,0.722,SG,4
Nassir Little,2019-20,76.5,85.25,104.5,36,9.8,4.6,0.7,0.527,0.269,0.77,SF,4
Terance Mann,2019-20,76.75,79.75,101.0,140,9.4,5.1,1.9,0.601,0.327,0.67,SG-SF,401
Cody Martin,2019-20,76.75,82.25,102.5,122,9.7,4.6,3.6,0.539,0.325,0.689,PG-SG,123
Jaylen Nowell,2019-20,75.25,79.25,98.0,70,16.1,4.6,2.9,0.504,0.396,0.789,SG,132
Jordan Nwora,2019-20,77.75,82.5,103.0,93,13.9,6.0,1.0,0.489,0.394,0.785,PF,124
Miye Oni,2019-20,76.25,82.75,100.5,87,15.0,6.2,3.3,0.49,0.356,0.777,SG,62
Eric Paschall,2019-20,78.0,83.75,103.5,137,12.3,5.1,1.5,0.562,0.331,0.765,SF,58
Jordan Poole,2019-20,75.5,78.75,99.5,75,9.4,2.2,1.4,0.519,0.37,0.831,SG,390
Neemias Queta,2019-20,82.75,88.25,111.5,86,13.2,9.0,2.0,0.596,0.375,0.646,C,62
Naz Reid,2019-20,80.75,87.25,109.0,34,13.6,7.2,0.9,0.509,0.333,0.727,PF,412
Isaiah Roby,2019-20,79.25,85.0,106.0,97,8.1,5.5,1.5,0.523,0.336,0.702,PF,61
Coby White,2019-20,75.5,77.0,97.5,35,16.1,3.5,4.1,0.5,0.353,0.8,PG,362
Grant Williams,2019-20,77.75,81.75,104.5,104,15.7,6.5,2.1,0.54,0.291,0.758,PF,339
